ID,Ho,Ten,Lop,Khoa,Gioi tinh,Ngay sinh,ID xa hoi
22001@student.hcmus.edu.vn,Hoang Xuan,Duong,22CTT2,Cong Nghe Thong Tin,Nu,03/01/2004,465444201,22001
22002@student.hcmus.edu.vn,Nguyen Xuan,Anh,22CTT2,Cong Nghe Thong Tin,Nam,02/11/2004,574330753,22002
22003@student.hcmus.edu.vn,Ho Quoc,Giang,22CTT2,Cong Nghe Thong Tin,Nam,28/02/2004,415900917,22003
22004@student.hcmus.edu.vn,Ho Quoc,Chi,22CTT2,Cong Nghe Thong Tin,Nam,26/01/2004,782445037,22004
22005@student.hcmus.edu.vn,Truong Gia,Phuong,22CTT2,Cong Nghe Thong Tin,Nam,13/05/2004,611241379,22005
22006@student.hcmus.edu.vn,Dinh Van,Oanh,22CTT2,Cong Nghe Thong Tin,Nam,10/02/2004,864197391,22006
22007@student.hcmus.edu.vn,Truong Gia,Minh,22CTT2,Cong Nghe Thong Tin,Nu,21/03/2004,826510762,22007
22008@student.hcmus.edu.vn,Hoang Xuan,Phuong,22CTT2,Cong Nghe Thong Tin,Nam,07/08/2004,613094192,22008
22009@student.hcmus.edu.vn,Hoang Ngoc,Minh,22CTT2,Cong Nghe Thong Tin,Nam,06/11/2004,649997688,22009
22010@student.hcmus.edu.vn,Phan Van,Cong,22CTT2,Cong Nghe Thong Tin,Nam,02/11/2004,759653829,22010
22011@student.hcmus.edu.vn,Truong Gia,Quynh,22CTT2,Cong Nghe Thong Tin,Nam,25/04/2004,652391922,22011
22012@student.hcmus.edu.vn,Phan Quoc,An,22CTT2,Cong Nghe Thong Tin,Nu,03/02/2004,184118799,22012
22013@student.hcmus.edu.vn,Dang Ngoc,Phuong,22CTT2,Cong Nghe Thong Tin,Nu,13/12/2004,119771780,22013
22014@student.hcmus.edu.vn,Ngo Quoc,Quynh,22CTT2,Cong Nghe Thong Tin,Nam,12/12/2004,737657299,22014
22015@student.hcmus.edu.vn,Le Tuan,Hai,22CTT2,Cong Nghe Thong Tin,Nu,06/11/2004,244529916,22015
22016@student.hcmus.edu.vn,Ho Tuan,An,22CTT2,Cong Nghe Thong Tin,Nu,23/11/2004,289300279,22016
22017@student.hcmus.edu.vn,Ngo Thi,Oanh,22CTT2,Cong Nghe Thong Tin,Nam,02/05/2004,801300908,22017
22018@student.hcmus.edu.vn,Truong Van,Danh,22CTT2,Cong Nghe Thong Tin,Nu,15/10/2004,269633275,22018
22019@student.hcmus.edu.vn,Tran Van,Nam,22CTT2,Cong Nghe Thong Tin,Nu,14/02/2004,983636352,22019
